aerc 0.3.0-3
archiso-git 43.0.gd796edc-1
autojump 22.5.3-5
bitwarden 1.17.2-1
firefox-nightly 77.0a1.20200418-1
flowblade 2.4.0.1-1
gimp-plugin-bimp 2.3-1
gns3-gui 2.2.7-1
gns3-server 2.2.7-1
mono-basic 4.8-1
monodevelop-bin 7.8.4.1_0xamarin6_ubuntu1804b1-2
multibootusb-git 20181002.dec46ef-1
packettracer 7.3.0-4
python-jsonschema26 2.6.0-1
shell-color-scripts 0.1-1
spotify 1:1.1.10.546-4
ttf-ms-fonts 2.0-10
ttf-vista-fonts 1-9
vidcutter 6.0.0-4
virtualbox-ext-oracle 6.1.6-1
visual-studio-code-bin 1.44.2-1
vundle 0.10.2-2
yaourt 1.9-1
zoom 3.5.385850.0413-1
