acpi 1.7-2
acpid 2.0.32-1
alacritty 0.4.2-1
alsa-firmware 1.2.1-2
alsa-utils 1.2.2-1
android-tools 29.0.6-1
android-udev 20200410-1
apache 2.4.43-1
apparmor 2.13.4-1
ark 19.12.3-1
aspell-en 2019.10.06-1
aspell-pl 20190101-1
autoconf 2.69-7
automake 1.16.2-1
avahi 0.8+15+ge8a3dd0-1
b43-fwcutter 019-3
bash-completion 2.10-1
bauh 0.9.0-1
binutils 2.34-2.1
bison 3.5.4-1
bluedevil 1:5.18.4.1-1
btrfs-progs 5.6-1
bzip2 1.0.8-3
clamav 0.102.2-1
cmake 3.17.1-2
cmatrix 2.0-1
coreutils 8.32-1
cowsay 3.04-1
cpupower 5.6-1
crda 4.14-3
cronie 1.5.5-1
cryptsetup 2.3.0-1.1
cups 2.3.1-1
cups-pdf 3.0.1-4
cups-pk-helper 0.2.6-3
device-mapper 2.02.187-1
dhclient 4.4.2-2
dhcpcd 9.0.1-4
diffutils 3.7-3
discord 0.0.10-2
dmenu 4.9-1.1
dmidecode 3.2-1
dmraid 1.0.0.rc16.3-12
dnsmasq 2.81-3
dolphin 19.12.3-2
dolphin-plugins 19.12.3-1
dosfstools 4.1-3
dotnet-runtime 3.1.3.sdk103.2-1
dotnet-sdk 3.1.3.sdk103.2-1
e2fsprogs 1.45.6-1
ecryptfs-utils 111-3
efibootmgr 17-1
exfat-utils 1.3.0-1
f2fs-tools 1.13.0-1
fakeroot 1.24-2
ffmpeg 1:4.2.2-5
ffmpegthumbs 19.12.3-1
file 5.38-3
filelight 19.12.3-1
filesystem 2019.10-4
filezilla 3.46.3-1
findutils 4.7.0-2
firefox-developer-edition 76.0b5-1
firefox-developer-edition-i18n-en-us 76.0b5-1
firefox-developer-edition-i18n-pl 76.0b5-1
flatpak 1.7.2-1
flex 2.6.4-3
freerdp 2:2.0.0-1
fwupd 1.4.0-1
gawk 5.0.1-2
gcc 9.3.0-1
gcc-libs 9.3.0-1
gdb 9.1-2
geany 1.36-1
gettext 0.20.1-3
ghostscript 9.52-1
gimp 2.10.18-5
gimp-help-en 2.10.0-1
git 2.26.1-1
glibc 2.31-2
gnome-icon-theme 3.12.0-5
gnome-themes-extra 3.28-1
grep 3.4-1
grub 2.04-10
grub-theme-manjaro 18.1-1
gsfonts 20180524-2
gst-libav 1.16.2-1
gst-plugins-bad 1.16.2-7
gst-plugins-base 1.16.2-1
gst-plugins-good 1.16.2-3
gst-plugins-ugly 1.16.2-3
gtk-theme-breath 5.9.0-1
gtk3 1:3.24.18-1
gufw 19.10.0-2
gvfs 1.44.1-1
gvfs-afc 1.44.1-1
gvfs-gphoto2 1.44.1-1
gvfs-mtp 1.44.1-1
gvfs-nfs 1.44.1-1
gvfs-smb 1.44.1-1
gwenview 19.12.3-1
gzip 1.10-3
haveged 1.9.8-1
hplip 1:3.20.3-2
htop 2.2.0-3
hunspell-en_US 2019.10.06-1
hunspell-pl 20190101-2
hyphen-en 2.8.8-2
illyria-wallpaper 1.4-1
imagewriter 1.10.1420800585.134a9b3-4
inetutils 1.9.4-8
intel-ucode 20191115-3
inxi 3.0.37-1
iproute2 5.6.0-1
iptables 1:1.8.4-1.1
iputils 20190709-2
ipw2100-fw 1.3-10
ipw2200-fw 3.1-8
jfsutils 1.1.15-7
kaccounts-providers 19.12.3-1
kamera 19.12.3-1
kate 19.12.3-1
kcalc 19.12.3-1
kde-gtk-config 5.18.4.1-1
kde-servicemenus-rootactions 2.9.1-1
kdeconnect 1.4-2
kdegraphics-thumbnailers 19.12.3-1
kdenetwork-filesharing 19.12.3-1
kdeplasma-addons 5.18.4.1-1
keditbookmarks 19.12.3-1
kernel-alive 0.5-1
kfind 19.12.3-1
kgamma5 5.18.4.1-1
kget 19.12.3-1
khelpcenter 19.12.3-1
kimageformats 5.69.0-1
kinfocenter 5.18.4.1-1
kio-extras 19.12.3-1
kmenuedit 5.18.4.1-1
konsole 19.12.3-2
konversation 1.7.5-3
kscreen 5.18.4.1-1
kscreenlocker 5.18.4.1-1
ksshaskpass 5.18.4.1-1
ksysguard 5.18.4.1-1
ksystemlog 19.12.3-1
kwallet-pam 5.18.4.1-1
kwalletmanager 19.12.3-1
kwayland-integration 5.18.4.1-1
kwin 5.18.4.1-4
kwrited 5.18.4.1-1
less 551-3
lib32-flex 2.6.4-2
lib32-giflib 5.2.1-1
lib32-gst-plugins-base-libs 1.16.2-1
lib32-gtk3 3.24.18-1
lib32-libcanberra 0.30+2+gc0620e4-1
lib32-libcanberra-pulse 0.30+2+gc0620e4-1
lib32-libva-intel-driver 2.4.0-1
lib32-libva-mesa-driver 20.0.4-1
lib32-libva-vdpau-driver 0.7.4-6
lib32-libxslt 1.1.34-1
lib32-mesa-demos 8.4.0-1
lib32-mpg123 1.25.13-1
lib32-nvidia-440xx-utils 440.82-1
lib32-ocl-icd 2.2.12-2
lib32-v4l-utils 1.18.0-1
lib32-vulkan-icd-loader 1.2.135-1
libcanberra 0.30+2+gc0620e4-2
libcanberra-gstreamer 0.30+2+gc0620e4-2
libcanberra-pulse 0.30+2+gc0620e4-2
libdvdcss 1.4.2-1
libktorrent 2.1.1-1
libreoffice-still 6.3.5-4
libreoffice-still-pl 6.3.5-1
libtool 2.4.6+42+gb88cebd5-11
libva-intel-driver 2.4.0-1
libva-mesa-driver 20.0.4-1
libva-vdpau-driver 0.7.4-4
libvncserver 0.9.12-2
licenses 20191011-2
light 1.2.2-1
linux-firmware 20200417.r1623.6314fa0-1
linux54 5.4.33-3
linux54-nvidia-440xx 440.82-6
linux54-virtualbox-guest-modules 6.1.6-3
linux54-virtualbox-host-modules 6.1.6-3
logrotate 3.16.0-1
lsb-release 1.4-13
lutris 0.5.6-1
lvm2 2.02.187-1
m4 1.4.18-3
make 4.3-3
man-db 2.9.1-2
man-pages 5.06-1
manjaro-alsa 20200126-1
manjaro-application-utility 1.3.2-2
manjaro-browser-settings 20200124-1
manjaro-documentation-en 20181009-1
manjaro-firmware 20160419-1
manjaro-hello 0.6.5-6
manjaro-hotfixes 2018.08-6
manjaro-kde-settings 20191212-1
manjaro-pulse 20200126-1
manjaro-release 20.0rc-1
manjaro-settings-manager-kcm 0.5.6-7
manjaro-settings-manager-knotifier 0.5.6-7
manjaro-system 20200418-1
manjaro-wallpapers-18.0 1.4-3
mc 4.8.24-2
mdadm 4.1-2
memtest86+ 5.01-3
mesa-demos 8.4.0-3
mhwd 0.6.4-2
mhwd-db 0.6.4-10
milou 5.18.4.1-1
mkinitcpio-openswap 0.1.0-3
mlocate 0.26.git.20170220-2
mobile-broadband-provider-info 20190618-1
modemmanager 1.12.8-1
mono 6.4.0.198-1
mtpfs 1.1-3
nano 4.9.2-1
neofetch 7.0.0-1
net-tools 1.60.20181103git-2
networkmanager 1.22.10-1
networkmanager-openconnect 1.2.6-1
networkmanager-openvpn 1.8.12-1
networkmanager-pptp 1.2.9dev+10+gb41b0d0-1
networkmanager-vpnc 1.2.7dev+20+gdca3aea-1
nextcloud 18.0.3-1
nextcloud-app-bookmarks 1:2.3.4-1
nextcloud-app-calendar 1:2.0.3-1
nextcloud-app-mail 1.3.2-1
nextcloud-app-notes 3.2.0-1
nextcloud-app-tasks 0.12.1-1
nextcloud-client 2.6.4-1
nfs-utils 2.4.3-2
nodejs 13.13.0-1
noto-fonts 20190926-4
noto-fonts-cjk 20190409-1
noto-fonts-emoji 20191016-6
npm 6.14.4-1
nss-mdns 0.14.1-2
ntfs-3g 2017.3.23-4
ntp 4.2.8.p14-1
numlockx 1.2-5
nvidia-440xx-utils 440.82-1
ocl-icd 2.2.12-3
okular 19.12.3-3
openresolv 3.10.0-1
openssh 8.2p1-3
openvpn 2.4.9-1
os-prober 1.77-1
oxygen 5.18.4.1-1
oxygen-icons 1:5.69.0-1
p7zip 16.02-5
package-query 1.10-1
pacman 5.2.1-4
pamac-cli 9.4.2-1
pamac-gtk 9.4.2-1
pamac-snap-plugin 9.4.2-1
pamac-tray-appindicator 9.4.2-1
partitionmanager3 3.3.1-1
patch 2.7.6-8
patchutils 0.3.4-3
pciutils 3.6.4-1
perl 5.30.2-1
perl-file-mimeinfo 0.29-2
phonon-qt5-gstreamer 4.10.0-1
picom 7.5-3
pinta 1.6-4
pkgconf 1.6.3-3
plasma-desktop 5.18.4.1-1
plasma-nm 5.18.4.1-1
plasma-pa 5.18.4.1-1
plasma-workspace 5.18.4.1-2
plasma-workspace-wallpapers 5.18.4.1-1
plasma5-themes-breath 0.4.0-2
poppler-data 0.4.9-1
powerdevil 5.18.4.1-1
powerline 2.7-5
powerline-fonts 2.7-5
powertop 2.11-1
print-manager 19.12.3-1
procps-ng 3.3.16-1
psmisc 23.3-2
pulseaudio-bluetooth 13.0-3
pulseaudio-ctl 1.67-1
pulseaudio-zeroconf 13.0-3
putty 0.73-1
python-pillow 6.2.1-1
python-pip 20.0.2-1
python-pyqt5 5.14.2-1
python-pysmbc 1.0.20-1
python-reportlab 3.5.42-1
qt5-imageformats 5.14.2-1
qt5-translations 5.14.2-1
qt5-virtualkeyboard 5.14.2-1
qutebrowser 1.10.2-1
reiserfsprogs 3.6.27-3
remmina 1:1.4.3-1
rsync 3.1.3-3
ruby 2.7.1-2
s-nail 14.9.17-1
samba 4.11.7-1
screenfetch 3.9.1-1
sddm 0.18.1-2
sddm-breath-theme 0.4.0-2
sddm-kcm 5.18.4.1-1
sed 4.8-1
shadow 4.8.1-1
shotcut 20.04.12-1
skanlite 2.1.0.1-1
snapd 2.44.3-1
snapd-glib 1.54-1
spectacle 19.12.3-1
spectre-meltdown-checker 0.43-1
splix 2.0.0-14
sshfs 3.7.0-1
st-manjaro 1:0.8.2.r31.g51e19ea-1
steam-manjaro 1.0.0.61-7
subversion 1.13.0-2
sudo 1.8.31.p1-1
sysfsutils 2.1.0-11
system-config-printer 1.5.12+33+g23b454ef-1
systemd-fsck-silent 239-1
systemd-kcm 1.2.1-5
systemd-sysvcompat 244.4-1
systemsettings 5.18.4.1-1
tar 1.32-3
terminus-font 4.48-1
texinfo 6.7-2
thunar 1.8.14-1
thunderbird 68.7.0-1
thunderbird-i18n-en-us 68.7.0-1
thunderbird-i18n-pl 68.7.0-1
timeshift 20.03.r0.gcecd294-1
tldr 0.5-2
tlp 1.3.1-2
ttf-bitstream-vera 1.10-12
ttf-droid 20121017-7.2
ttf-inconsolata 1:3.000-2
ttf-indic-otf 0.2-9
ttf-liberation 2.1.0-1
udiskie 2.1.1-1
udisks2 2.8.4-2
ufw 0.36-3
unarchiver 1.10.1-8
usb_modeswitch 2.6.0-2
usbutils 012-2
user-manager 5.18.4.1-1
util-linux 2.35.1-1.1
vi 1:070224-4
vifm 0.10.1-1
vim 8.2.0510-1
vim-spell-en 20190731-1
vim-spell-pl 20190731-1
virtualbox 6.1.6-1
virtualbox-guest-utils 6.1.6-1
vlc 3.0.9.2-0
wallpapers-2018 1.2-1
wallpapers-juhraya 1.1-2
wget 1.20.3-2
which 2.21-5
wine-staging 5.5-1
wpa_supplicant 2:2.9-7
xdg-desktop-portal 1.7.2-1
xdg-desktop-portal-kde 5.18.4.1-1
xdg-su 1.2.3-1
